Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C96446
"C10, C11, C12, C13, C15, C17, C18, C19, C2, C20, C21, C25, C27, C3",0603,14,100nF,C1591
"C14, C7",0402,2,10nF,C57112
C16,CP_EIA-3216-18_Kemet-A_HandSolder,1,10uF,C7171
"C22, C23",0805,2,1uF,C1712
C24,0603,1,2.2uF,C23630
C33,0603,1,330pF,C1664
C4,0402,1,75pF,C107010
"C5, C6",0603,2,22uF,C59461
"C8, C9",0603,2,1uF,C15849
D5,SOT-323_SC-70,1,BAT54SW,C22466373
L1,L_Sunlord_SWPA6045S,1,68uH,C53663
"R1, R25, R3",0603,3,47k,C25819
"R10, R13, R8",0603,3,360R,C25194
"R11, R12, R9",0805,3,220R,C17557
"R14, R15, R2, R4",0805,4,10k,C17414
"R16, R17, R18, R19",0603,4,33k,C4216
R20,0603,1,1k,C21190
R21,0603,1,470K,C23178
R23,0603,1,3k,C4211
"R24, R6",0603,2,100k,C25803
R31,0805,1,680R,C17798
R5,0603,1,13k3,C25952
R7,0805,1,49R9,C17720
TP14,PinHeader_1x02_P2.54mm_Vertical,1,GND,
U1,SOT-23-6,1,TPS54202DDC,C191884
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP4822,C16040
"U2, U7, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,TL072,C6961
U5,SOT-23-3,1,XC6206PxxxMR,C5446
U6,10-Lead LFCSP_WD (CP-10-9),1,AD9837BCPZ-RL7,C138562
U8,SOT-23-8,1,AD5160,C40097
Y1,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,1,X1G0041710027,C255993
