Designator,Mid X,Mid Y,Rotation,Layer
C1,129.3125,-83.2,180.0,top
C10,85.1,-125.0625,90.0,top
C11,102.0875,-96.45,180.0,top
C12,108.1,-104.9,0.0,top
C13,82.6,-123.9,180.0,top
C14,82.6,-122.0325,270.0,top
C15,73.1375,-109.625,270.0,top
C16,81.76,-125.7,0.0,top
C17,66.6,-116.4625,270.0,top
C18,73.535,-119.675,270.0,top
C19,74.7125,-85.435,180.0,top
C2,129.35,-81.4,180.0,top
C20,68.6,-91.8625,90.0,top
C21,79.2875,-110.55,180.0,top
C22,81.8,-100.3,0.0,top
C23,78.5,-102.4625,270.0,top
C24,77.825,-88.935,270.0,top
C25,81.5125,-64.3,0.0,top
C27,81.5125,-67.7,180.0,top
C3,125.9,-76.2,0.0,top
C33,76.35,-122.0125,270.0,top
C4,131.85,-73.3,90.0,top
C5,124.7475,-83.395,90.0,top
C6,123.25,-83.4,90.0,top
C7,87.45,-127.7925,90.0,top
C8,82.975,-132.7075,90.0,top
C9,77.75,-132.1625,270.0,top
D1,70.8,-137.0,0.0,top
D2,86.1,-137.0,0.0,top
D3,124.6,-137.0,180.0,top
D4,135.0,-137.0,180.0,top
D5,85.4,-88.0,180.0,top
D6,101.5,-128.425,0.0,top
H1,101.7,-87.8,0.0,top
J1,124.96,-49.89,180.0,top
J2,111.66,-49.89,180.0,top
J3,70.76,-49.89,180.0,top
J4,84.06,-49.89,180.0,top
J5,135.84,-49.0,90.0,top
J6,106.04,-133.2,270.0,top
J7,135.1,-59.4,270.0,top
J8,111.14,-128.425,90.0,top
L1,127.1,-88.6,180.0,top
R1,105.5,-94.6,0.0,top
R10,132.45,-132.4,270.0,top
R11,137.55,-132.4,270.0,top
R12,66.2,-137.0,180.0,top
R13,81.6,-137.0,180.0,top
R14,68.135,-124.775,0.0,top
R15,68.135,-122.875,180.0,top
R16,65.6875,-88.6375,0.0,top
R17,71.65,-94.7,0.0,top
R18,71.675,-92.735,0.0,top
R19,68.2,-87.7375,90.0,top
R2,109.2,-94.6,0.0,top
R20,82.0625,-88.0,180.0,top
R21,79.425,-88.935,270.0,top
R23,81.1,-74.9,180.0,top
R24,81.85,-89.85,0.0,top
R25,78.65,-75.8125,270.0,top
R3,104.45,-106.2,0.0,top
R31,78.95,-121.15,180.0,top
R32,137.1,-74.4,270.0,top
R4,104.45,-104.3,180.0,top
R5,133.1,-74.8,90.0,top
R6,130.35,-73.3,90.0,top
R7,127.65,-72.3,180.0,top
R8,122.05,-132.4,270.0,top
R9,127.15,-132.4,270.0,top
SW1,96.7,-53.6,90.0,top
TP1,88.3,-106.65,0.0,top
TP10,64.8,-106.2,180.0,top
TP11,65.3,-81.75,0.0,top
TP12,81.3,-78.55,0.0,top
TP13,135.9,-54.9,0.0,top
TP14,90.4,-80.395,0.0,top
TP15,124.825,-98.225,0.0,top
TP2,88.3,-112.5,0.0,top
TP3,129.5,-64.4,0.0,top
TP4,119.3,-64.4,0.0,top
TP5,109.11,-64.4,0.0,top
TP6,88.8,-118.9,0.0,top
TP7,73.1,-126.5,0.0,top
TP8,64.15,-123.8,0.0,top
TP9,75.3,-115.6,0.0,top
U1,129.35,-77.4,270.0,top
U10,82.3,-106.0,0.0,top
U11,76.6,-67.7,90.0,top
U2,106.285,-99.425,0.0,top
U3,106.03,-116.89,270.0,top
U5,80.3,-132.4625,90.0,top
U6,84.999999,-120.3522,90.0,top
U7,70.1,-118.1,0.0,top
U8,69.7,-109.65,0.0,top
U9,73.1,-89.05,270.0,top
Y1,88.1,-124.925,90.0,top
